GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),Winner(PlayerIdx)
-84488275,Descent2e,5,GAME_OVER,100,0,4,2,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,4)","(1,15)",,"(9,3)","(8,12)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)",8,4,7,2,2,10,,2,,14,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-611313646,Descent2e,5,GAME_OVER,85,0,4,3,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,6)","(1,16)",,"(9,6)","(9,12)","(2,16)",,"(6,16)",,"(5,6)","(5,7)","(3,8)","(8,2)",10,4,7,2,2,10,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1731327576,Descent2e,6,GAME_OVER,141,0,4,4,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,2)","(1,15)",,"(9,3)","(8,14)","(8,16)",,"(3,14)",,"(3,8)","(4,16)","(4,6)","(10,4)",8,4,7,2,2,12,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1030049306,Descent2e,4,GAME_OVER,87,0,4,5,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(5,2)","(1,16)",,"(9,3)","(5,3)","(1,15)",,"(3,8)",,"(4,4)","(3,4)","(4,14)","(11,5)",12,4,7,2,2,8,,2,,14,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-332434317,Descent2e,4,GAME_OVER,92,3,4,6,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,4)","(3,16)",,"(7,3)","(4,13)","(1,15)",,"(8,3)",,"(5,7)","(5,16)","(5,11)","(6,3)",10,4,7,2,2,6,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
204336152,Descent2e,4,GAME_OVER,71,0,4,7,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,5)","(2,15)",,"(10,6)","(4,14)","(1,16)",,"(3,14)",,"(4,9)","(2,7)","(5,14)","(7,3)",8,4,7,2,2,12,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
114044284,Descent2e,5,GAME_OVER,107,0,4,8,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,2)","(1,16)",,"(9,4)","(4,17)","(2,16)",,"(5,10)",,"(3,6)","(5,14)","(5,17)","(8,3)",12,4,7,2,2,12,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1126255906,Descent2e,5,GAME_OVER,115,0,4,9,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,3)","(3,13)",,"(6,4)","(5,16)","(1,16)",,"(4,7)",,"(3,12)","(4,13)","(6,14)","(10,4)",10,1,7,2,2,14,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-407615820,Descent2e,5,GAME_OVER,104,0,4,10,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,4)","(2,15)",,"(11,5)","(3,13)","(1,16)",,"(4,8)",,"(4,5)","(5,14)","(3,16)","(3,2)",8,4,7,2,2,7,,2,,9,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
270862216,Descent2e,5,GAME_OVER,90,0,4,11,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,5)","(2,16)",,"(11,5)","(4,16)","(1,16)",,"(2,6)",,"(3,9)","(5,6)","(5,17)","(7,2)",12,4,7,2,2,14,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1291781659,Descent2e,5,GAME_OVER,97,0,4,12,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,5)","(1,16)",,"(9,2)","(10,14)","(1,15)",,"(4,8)",,"(5,11)","(2,7)","(5,14)","(8,2)",8,4,7,2,2,10,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1474588018,Descent2e,5,GAME_OVER,100,0,4,13,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(3,6)","(1,15)",,"(11,6)","(9,13)","(1,16)",,"(5,6)",,"(3,7)","(3,16)","(5,10)","(9,4)",8,4,7,2,2,14,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
697030021,Descent2e,6,GAME_OVER,157,0,4,14,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(6,4)","(3,16)",,"(8,3)","(5,13)","(1,16)",,"(9,7)",,"(6,14)","(5,16)","(5,15)","(10,7)",14,4,7,2,2,4,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
956090341,Descent2e,5,GAME_OVER,111,0,4,15,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,2)","(2,16)",,"(11,5)","(4,13)","(1,16)",,"(5,15)",,"(4,10)","(4,8)","(5,8)","(10,5)",10,4,7,2,2,8,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1498501206,Descent2e,5,GAME_OVER,114,0,4,16,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,3)","(4,17)",,"(6,3)","(4,13)","(1,16)",,"(3,6)",,"(4,14)","(4,7)","(3,17)","(7,3)",2,4,7,1,2,12,,2,,12,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-164530892,Descent2e,5,GAME_OVER,101,0,4,17,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,5)","(2,15)",,"(10,4)","(4,12)","(1,16)",,"(2,7)",,"(10,12)","(2,6)","(6,15)","(6,3)",12,4,7,2,2,8,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-792746254,Descent2e,5,GAME_OVER,99,0,4,18,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(6,2)","(1,16)",,"(6,3)","(9,13)","(1,15)",,"(5,10)",,"(3,7)","(4,7)","(3,17)","(8,6)",10,4,7,2,2,10,,2,,12,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1589492708,Descent2e,7,GAME_OVER,141,0,4,19,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,3)","(6,17)",,"(9,3)","(3,14)","(3,17)",,"(10,5)",,"(3,10)","(5,17)","(5,7)","(7,2)",8,4,7,2,2,8,,2,,11,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1261642724,Descent2e,5,GAME_OVER,102,0,4,20,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,2)","(4,15)",,"(7,3)","(4,7)","(7,16)",,"(2,3)",,"(5,14)","(5,5)","(4,13)","(9,4)",8,4,7,2,2,12,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-450095454,Descent2e,5,GAME_OVER,111,0,4,21,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,2)","(1,16)",,"(9,2)","(3,10)","(6,17)",,"(4,8)",,"(5,6)","(5,5)","(6,14)","(8,2)",12,4,7,2,2,8,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1046689982,Descent2e,6,GAME_OVER,126,3,4,22,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,2)","(1,15)",,"(9,4)","(10,11)","(3,17)",,"(11,5)",,"(2,6)","(3,8)","(5,14)","(11,4)",8,3,7,2,2,14,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1087748963,Descent2e,20,GAME_OVER,422,0,4,23,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,timeout,"(10,4)","(1,16)",,"(9,6)","(3,8)","(1,15)",,"(11,6)",,"(10,6)","(4,10)","(11,7)","(8,4)",10,4,0,2,2,4,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,-1
430231772,Descent2e,5,GAME_OVER,98,0,4,24,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,5)","(1,15)",,"(5,3)","(3,16)","(1,16)",,"(4,8)",,"(5,14)","(5,7)","(2,6)","(8,7)",8,4,7,2,2,12,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
301146624,Descent2e,6,GAME_OVER,126,0,4,25,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,2)","(1,16)",,"(9,6)","(5,14)","(1,15)",,"(11,7)",,"(3,5)","(5,16)","(11,6)","(9,4)",8,4,7,2,2,8,,2,,12,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-589854594,Descent2e,6,GAME_OVER,159,3,4,26,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,4)","(1,16)",,"(8,3)","(5,15)","(5,17)",,"(5,5)",,"(3,7)","(4,9)","(6,15)","(6,3)",12,2,7,2,2,8,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
605096602,Descent2e,6,GAME_OVER,135,3,4,27,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(6,3)","(1,16)",,"(9,6)","(8,16)","(3,15)",,"(5,9)",,"(4,7)","(4,11)","(4,15)","(8,4)",8,3,7,2,2,5,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
970052066,Descent2e,5,GAME_OVER,116,0,4,28,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,6)","(8,17)",,"(10,5)","(7,12)","(2,16)",,"(5,8)",,"(3,7)","(2,6)","(3,14)","(8,2)",8,4,7,2,2,12,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1218200676,Descent2e,5,GAME_OVER,108,3,4,29,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,6)","(3,17)",,"(8,3)","(2,15)","(1,15)",,"(2,7)",,"(6,15)","(3,6)","(8,6)","(6,3)",8,4,7,2,2,8,,2,,12,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
866989620,Descent2e,5,GAME_OVER,93,0,4,30,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,4)","(1,16)",,"(6,4)","(3,13)","(1,15)",,"(5,16)",,"(3,7)","(3,6)","(4,8)","(9,6)",8,4,7,2,2,10,,2,,14,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-47842161,Descent2e,20,GAME_OVER,381,0,4,31,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,timeout,"(5,2)","(4,12)",,"(9,5)","(5,14)","(3,17)",,"(6,6)",,"(7,5)","(6,2)","(2,3)","(11,7)",8,4,6,2,2,12,,2,,6,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,-1
